iter	Passed	Remaining
0	309	61500
1	524	51910
2	729	47874
3	901	44164
4	1109	43281
5	1334	43133
6	1496	41268
7	1694	40677
8	1875	39794
9	2053	39010
10	2241	38508
11	2438	38199
12	2656	38212
13	2860	38007
14	3069	37858
15	3299	37943
16	3512	37809
17	3732	37740
18	3961	37742
19	4138	37244
20	4318	36805
21	4500	36410
22	4679	36011
23	4906	35981
24	5091	35642
25	5286	35378
26	5509	35303
27	5772	35458
28	5991	35330
29	6245	35389
30	6488	35371
31	6711	35237
32	6905	34946
33	7079	34564
34	7298	34407
35	7468	34022
36	7651	33709
37	7849	33461
38	8014	33085
39	8225	32900
40	8416	32638
41	8637	32493
42	8842	32285
43	9043	32061
44	9281	31970
45	9482	31744
46	9673	31489
47	9905	31366
48	10164	31323
49	10420	31261
50	10626	31047
51	10834	30836
52	11041	30623
53	11240	30390
54	11445	30175
55	11655	29970
56	11905	29869
57	12171	29799
58	12395	29623
59	12587	29370
60	12804	29177
61	13013	28966
62	13275	28869
63	13498	28684
64	13739	28535
65	13949	28321
66	14151	28090
67	14357	27870
68	14575	27672
69	14768	27426
70	14989	27234
71	15188	27001
72	15404	26798
73	15637	26626
74	15881	26469
75	16079	26234
76	16302	26041
77	16554	25893
78	16786	25711
79	16993	25490
80	17187	25250
81	17384	25016
82	17604	24815
83	17858	24661
84	18078	24459
85	18315	24278
86	18506	24037
87	18715	23819
88	18921	23598
89	19143	23397
90	19363	23193
91	19577	22982
92	19762	22737
93	19961	22509
94	20195	22321
95	20422	22124
96	20658	21936
97	20864	21716
98	21069	21495
99	21260	21260
100	21462	21037
101	21702	20851
102	21919	20642
103	22141	20438
104	22438	20301
105	22619	20058
106	22836	19848
107	23045	19631
108	23274	19431
109	23508	19234
110	23709	19009
111	23943	18812
112	24155	18597
113	24383	18394
114	24591	18176
115	24813	17968
116	25030	17756
117	25236	17537
118	25456	17327
119	25689	17126
120	25919	16922
121	26130	16706
122	26317	16474
123	26547	16270
124	26767	16060
125	26975	15842
126	27215	15643
127	27424	15426
128	27614	15198
129	27833	14987
130	28063	14781
131	28283	14570
132	28499	14356
133	28699	14135
134	28895	13912
135	29133	13709
136	29349	13496
137	29586	13292
138	29802	13078
139	30020	12866
140	30242	12654
141	30439	12432
142	30645	12215
143	30861	12001
144	31070	11785
145	31264	11563
146	31494	11355
147	31670	11127
148	31910	10922
149	32125	10708
150	32356	10499
151	32607	10297
152	32843	10089
153	33053	9872
154	33279	9661
155	33477	9442
156	33703	9230
157	33946	9023
158	34170	8811
159	34396	8599
160	34629	8388
161	34843	8173
162	35047	7955
163	35247	7737
164	35462	7522
165	35703	7312
166	35930	7100
167	36179	6891
168	36406	6678
169	36619	6462
170	36821	6244
171	37072	6035
172	37260	5815
173	37516	5605
174	37799	5399
175	38064	5190
176	38313	4978
177	38506	4759
178	38707	4541
179	38900	4322
180	39108	4105
181	39302	3887
182	39489	3668
183	39698	3452
184	39900	3235
185	40107	3018
186	40311	2802
187	40523	2586
188	40724	2370
189	40956	2155
190	41206	1941
191	41421	1725
192	41641	1510
193	41852	1294
194	42123	1080
195	42367	864
196	42622	649
197	42851	432
198	43085	216
199	43293	0
